Freq.	V(vout)
1.16144861384034e+002	(-9.16683578462758e-004dB,-7.09022244606312e-001°)
1.16412602941049e+002	(-9.17081076833507e-004dB,-7.10656692684130e-001°)
1.16680961706096e+002	(-9.17480409834186e-004dB,-7.12294908436073e-001°)
1.16949939101987e+002	(-9.17881585883549e-004dB,-7.13936900546707e-001°)
1.17219536554813e+002	(-9.18284613508375e-004dB,-7.15582677720615e-001°)
1.17489755493952e+002	(-9.18689501269195e-004dB,-7.17232248682445e-001°)
1.17760597352080e+002	(-9.19096257712081e-004dB,-7.18885622176944e-001°)
1.18032063565172e+002	(-9.19504891497872e-004dB,-7.20542806969018e-001°)
1.18304155572516e+002	(-9.19915411298984e-004dB,-7.22203811843770e-001°)
1.18576874816716e+002	(-9.20327825762761e-004dB,-7.23868645606547e-001°)
1.18850222743701e+002	(-9.20742143673498e-004dB,-7.25537317082991e-001°)
1.19124200802737e+002	(-9.21158373811636e-004dB,-7.27209835119084e-001°)
1.19398810446427e+002	(-9.21576524991374e-004dB,-7.28886208581190e-001°)
1.19674053130724e+002	(-9.21996606076100e-004dB,-7.30566446356111e-001°)
1.19949930314937e+002	(-9.22418626014074e-004dB,-7.32250557351129e-001°)
1.20226443461741e+002	(-9.22842593698586e-004dB,-7.33938550494046e-001°)
1.20503594037179e+002	(-9.23268518143485e-004dB,-7.35630434733247e-001°)
1.20781383510677e+002	(-9.23696408375159e-004dB,-7.37326219037735e-001°)
1.21059813355048e+002	(-9.24126273457612e-004dB,-7.39025912397184e-001°)
1.21338885046497e+002	(-9.24558122520434e-004dB,-7.40729523821985e-001°)
1.21618600064636e+002	(-9.24991964713468e-004dB,-7.42437062343291e-001°)
1.21898959892486e+002	(-9.25427809222248e-004dB,-7.44148537013070e-001°)
1.22179966016487e+002	(-9.25865665319107e-004dB,-7.45863956904152e-001°)
1.22461619926504e+002	(-9.26305542255164e-004dB,-7.47583331110270e-001°)
1.22743923115840e+002	(-9.26747449358698e-004dB,-7.49306668746123e-001°)
1.23026877081238e+002	(-9.27191396013925e-004dB,-7.51033978947405e-001°)
1.23310483322890e+002	(-9.27637391635930e-004dB,-7.52765270870870e-001°)
1.23594743344450e+002	(-9.28085445653300e-004dB,-7.54500553694371e-001°)
1.23879658653036e+002	(-9.28535567586247e-004dB,-7.56239836616910e-001°)
1.24165230759240e+002	(-9.28987766983921e-004dB,-7.57983128858698e-001°)
1.24451461177138e+002	(-9.29442053433088e-004dB,-7.59730439661176e-001°)
1.24738351424294e+002	(-9.29898436534981e-004dB,-7.61481778287098e-001°)
1.25025903021771e+002	(-9.30356925989213e-004dB,-7.63237154020559e-001°)
1.25314117494141e+002	(-9.30817531519507e-004dB,-7.64996576167045e-001°)
1.25602996369487e+002	(-9.31280262891063e-004dB,-7.66760054053494e-001°)
1.25892541179416e+002	(-9.31745129896089e-004dB,-7.68527597028329e-001°)
1.26182753459066e+002	(-9.32212142401054e-004dB,-7.70299214461523e-001°)
1.26473634747114e+002	(-9.32681310322587e-004dB,-7.72074915744640e-001°)
1.26765186585784e+002	(-9.33152643590817e-004dB,-7.73854710290887e-001°)
1.27057410520853e+002	(-9.33626152195675e-004dB,-7.75638607535163e-001°)
1.27350308101665e+002	(-9.34101846160851e-004dB,-7.77426616934106e-001°)
1.27643880881134e+002	(-9.34579735616123e-004dB,-7.79218747966154e-001°)
1.27938130415752e+002	(-9.35059830668131e-004dB,-7.81015010131580e-001°)
1.28233058265601e+002	(-9.35542141483311e-004dB,-7.82815412952556e-001°)
1.28528665994361e+002	(-9.36026678312973e-004dB,-7.84619965973196e-001°)
1.28824955169313e+002	(-9.36513451415182e-004dB,-7.86428678759602e-001°)
1.29121927361353e+002	(-9.37002471111660e-004dB,-7.88241560899927e-001°)
1.29419584144998e+002	(-9.37493747756925e-004dB,-7.90058622004423e-001°)
1.29717927098395e+002	(-9.37987291775899e-004dB,-7.91879871705476e-001°)
1.30016957803328e+002	(-9.38483113629196e-004dB,-7.93705319657681e-001°)
1.30316677845229e+002	(-9.38981223856516e-004dB,-7.95534975537876e-001°)
1.30617088813183e+002	(-9.39481632980202e-004dB,-7.97368849045195e-001°)
1.30918192299940e+002	(-9.39984351621940e-004dB,-7.99206949901132e-001°)
1.31219989901920e+002	(-9.40489390445854e-004dB,-8.01049287849575e-001°)
1.31522483219223e+002	(-9.40996760164295e-004dB,-8.02895872656874e-001°)
1.31825673855640e+002	(-9.41506471520479e-004dB,-8.04746714111875e-001°)
1.32129563418657e+002	(-9.42018535302956e-004dB,-8.06601822025990e-001°)
1.32434153519466e+002	(-9.42532962417939e-004dB,-8.08461206233237e-001°)
1.32739445772973e+002	(-9.43049763724390e-004dB,-8.10324876590296e-001°)
1.33045441797808e+002	(-9.43568950193150e-004dB,-8.12192842976557e-001°)
1.33352143216332e+002	(-9.44090532853895e-004dB,-8.14065115294183e-001°)
1.33659551654643e+002	(-9.44614522730517e-004dB,-8.15941703468153e-001°)
1.33967668742593e+002	(-9.45140930957825e-004dB,-8.17822617446313e-001°)
1.34276496113786e+002	(-9.45669768662914e-004dB,-8.19707867199439e-001°)
1.34586035405594e+002	(-9.46201047082834e-004dB,-8.21597462721275e-001°)
1.34896288259165e+002	(-9.46734777483567e-004dB,-8.23491414028602e-001°)
1.35207256319427e+002	(-9.47270971168717e-004dB,-8.25389731161282e-001°)
1.35518941235103e+002	(-9.47809639501687e-004dB,-8.27292424182308e-001°)
1.35831344658715e+002	(-9.48350793925930e-004dB,-8.29199503177872e-001°)
1.36144468246594e+002	(-9.48894445875263e-004dB,-8.31110978257393e-001°)
1.36458313658892e+002	(-9.49440606916599e-004dB,-8.33026859553597e-001°)
1.36772882559584e+002	(-9.49989288585993e-004dB,-8.34947157222557e-001°)
1.37088176616484e+002	(-9.50540502574780e-004dB,-8.36871881443751e-001°)
1.37404197501251e+002	(-9.51094260495215e-004dB,-8.38801042420104e-001°)
1.37720946889394e+002	(-9.51650574150519e-004dB,-8.40734650378068e-001°)
1.38038426460288e+002	(-9.52209455284120e-004dB,-8.42672715567644e-001°)
1.38356637897177e+002	(-9.52770915793763e-004dB,-8.44615248262467e-001°)
1.38675582887188e+002	(-9.53334967526083e-004dB,-8.46562258759834e-001°)
1.38995263121334e+002	(-9.53901622485886e-004dB,-8.48513757380777e-001°)
1.39315680294529e+002	(-9.54470892661589e-004dB,-8.50469754470106e-001°)
1.39636836105593e+002	(-9.55042790129380e-004dB,-8.52430260396478e-001°)
1.39958732257261e+002	(-9.55617327011741e-004dB,-8.54395285552432e-001°)
1.40281370456195e+002	(-9.56194515498674e-004dB,-8.56364840354458e-001°)
1.40604752412990e+002	(-9.56774367807189e-004dB,-8.58338935243051e-001°)
1.40928879842186e+002	(-9.57356896242066e-004dB,-8.60317580682764e-001°)
1.41253754462274e+002	(-9.57942113143772e-004dB,-8.62300787162260e-001°)
1.41579377995707e+002	(-9.58530030934761e-004dB,-8.64288565194371e-001°)
1.41905752168908e+002	(-9.59120662048099e-004dB,-8.66280925316161e-001°)
1.42232878712281e+002	(-9.59714019032591e-004dB,-8.68277878088963e-001°)
1.42560759360218e+002	(-9.60310114453442e-004dB,-8.70279434098456e-001°)
1.42889395851109e+002	(-9.60908960951090e-004dB,-8.72285603954704e-001°)
1.43218789927353e+002	(-9.61510571225774e-004dB,-8.74296398292226e-001°)
1.43548943335365e+002	(-9.62114958041392e-004dB,-8.76311827770040e-001°)
1.43879857825583e+002	(-9.62722134162813e-004dB,-8.78331903071727e-001°)
1.44211535152486e+002	(-9.63332112523685e-004dB,-8.80356634905488e-001°)
1.44543977074592e+002	(-9.63944906010411e-004dB,-8.82386034004195e-001°)
1.44877185354475e+002	(-9.64560527617411e-004dB,-8.84420111125452e-001°)
1.45211161758773e+002	(-9.65178990418198e-004dB,-8.86458877051654e-001°)
1.45545908058195e+002	(-9.65800307526799e-004dB,-8.88502342590037e-001°)
1.45881426027534e+002	(-9.66424492087143e-004dB,-8.90550518572744e-001°)
1.46217717445671e+002	(-9.67051557341537e-004dB,-8.92603415856869e-001°)
1.46554784095590e+002	(-9.67681516589200e-004dB,-8.94661045324533e-001°)
1.46892627764385e+002	(-9.68314383148643e-004dB,-8.96723417882927e-001°)
1.47231250243271e+002	(-9.68950170494623e-004dB,-8.98790544464377e-001°)
1.47570653327588e+002	(-9.69588892072009e-004dB,-9.00862436026392e-001°)
1.47910838816819e+002	(-9.70230561430796e-004dB,-9.02939103551743e-001°)
